Twitter Users,Retweeted User,Retweets,Generation,User followers
justiceforevee,delbigtree,1887,1,11903
jorient,JamesMelville,1866,1,8631
eileeniorio,RobertKennedyJr,1862,1,16649
ToniaBuxton,drsimonegold,1860,2,107598
JeffereyJaxen,RandPaul,1857,1,25742
ChildrensHD,RobertKennedyJr,1844,1,93850
JeffereyJaxen,MartinKulldorff,1838,1,21409
Notyour28981739,DrEliDavid,1823,1,11900
Notyour28981739,toadmeister,1815,1,12393
ChildrensHD,RobertKennedyJr,1815,1,77755
HegKong,ClayTravis,1807,1,35709
jorient,JamesMelville,1794,1,8636
SNCCLA,drsimonegold,1794,1,5125
HegKong,BallouxFrancois,1754,1,31801
jorient,JamesMelville,1735,1,8519
anish_koka,MartinKulldorff,1721,3,9863
jimmy_dore,MartyMakary,1702,2,321736
avoiceforchoice,RandPaul,1697,1,7952
ChildrensHD,RobertKennedyJr,1686,1,84318
eileeniorio,RobertKennedyJr,1684,1,20520
eileeniorio,RepThomasMassie,1679,1,16687
ChildrensHD,RobertKennedyJr,1677,1,107000
justiceforevee,danielkotzin,1675,1,11933
Notyour28981739,ScienceWDrDoug,1670,1,11800
HegKong,MartinKulldorff,1664,1,31785
ClareCraigPath,DrAseemMalhotra,1662,1,90730
DrTessaT,MartinKulldorff,1654,3,19525
HegKong,JamesMelville,1641,1,32032
jorient,drsimonegold,1622,1,7443
avoiceforchoice,RobertKennedyJr,1620,1,7229
ChildrensHD,RobertKennedyJr,1608,1,107595
waynerohde,P_McCulloughMD,1604,1,3775
HowardGriffiths,RobertKennedyJr,1603,4,5018
alanvibe,ClareCraigPath,1592,3,38497
aginnt,MartyMakary,1590,2,65602
waynerohde,RobertKennedyJr,1567,1,3723
waynerohde,RobertKennedyJr,1551,1,3720
eileeniorio,RobertKennedyJr,1551,1,20584
Notyour28981739,andrewbostom,1542,1,11626
ClareCraigPath,DrAseemMalhotra,1519,1,91840
RandPaul,MartyMakary,1497,2,3569353
brownstoneinst,MartinKulldorff,1471,2,19102
DrHoenderkamp,ClareCraigPath,1470,3,73920
jorient,reasonoverfear,1466,1,8312
Notyour28981739,TonyHinton2016,1458,1,11964
lifebiomedguru,RobertKennedyJr,1454,1,20726
ChildrensHD,RobertKennedyJr,1451,1,87648
ChildrensHD,RobertKennedyJr,1446,1,106292
Believe_Mothers,JamesMelville,1445,1,5846
SNCCLA,uTobian,1438,1,5183
DrAseemMalhotra,akheriaty,1438,2,185618
ClareCraigPath,MaajidNawaz,1430,1,97386
toadmeister,BenGoldsmith,1426,2,190903
Notyour28981739,RandPaul,1424,1,11107
JeffereyJaxen,MartyMakary,1407,1,21340
Notyour28981739,BusyDrT,1407,1,6909
Notyour28981739,HegKong,1379,1,6926
ChildrensHD,RobertKennedyJr,1377,1,97296
Notyour28981739,RobertKennedyJr,1373,1,9552
kksheld,MartyMakary,1342,2,117982
ChildrensHD,RobertKennedyJr,1319,1,77304
eileeniorio,RandPaul,1308,1,19287
