Twitter Users,Retweeted User,Retweets,Generation,User followers
YardleyShooting,TonyHinton2016,262,1,61738
ChildrensHD,RobertKennedyJr,262,2,108403
ChildrensHD,RobertKennedyJr,262,1,79205
ChildrensHD,RobertKennedyJr,260,1,83466
avoiceforchoice,HighWireTalk,260,1,8298
ChildrensHD,RobertKennedyJr,259,2,107850
sallyKP,uTobian,258,1,12098
lifebiomedguru,HighWireTalk,258,1,20986
ClareCraigPath,andrewbostom,258,1,73254
Notyour28981739,uTobian,257,1,6649
BeckyJohnson222,HighWireTalk,257,1,4950
Notyour28981739,SenRonJohnson,256,1,9552
sallyKP,uTobian,255,1,12118
Notyour28981739,AAPSonline,255,1,11172
barnes_law,danielkotzin,253,2,239061
robinmonotti,uTobian,252,1,21487
ClareCraigPath,cricketwyvern,252,1,96732
sallyKP,RobertKennedyJr,250,1,12065
ClareCraigPath,TonyHinton2016,248,1,102666
ClareCraigPath,JamesMelville,247,1,90865
delbigtree,HighWireTalk,247,1,120230
waynerohde,HighWireTalk,246,1,3756
avoiceforchoice,BusyDrT,246,1,8085
ritamollerpalma,SharylAttkisson,244,1,4001
SNCCLA,HighWireTalk,243,1,5657
lifebiomedguru,RobertKennedyJr,242,1,38843
jorient,HighWireTalk,242,1,7498
jonrappoport,forrestmaready,242,1,64409
robinmonotti,kksheld,239,1,26631
ClareCraigPath,EssexPR,237,1,88514
ezralevant,DavidAnber,237,2,352574
ClareCraigPath,cricketwyvern,237,1,76199
ClareCraigPath,ianmSC,236,1,110949
ClareCraigPath,cricketwyvern,236,1,84624
JeffereyJaxen,HighWireTalk,235,1,23154
SNCCLA,HighWireTalk,235,1,5662
ToniaBuxton,ollysmithtravel,234,2,107532
justiceforevee,PamLongCO,233,1,11469
sallyKP,dockaurG,232,1,12762
ritamollerpalma,ChuckCallesto,232,1,5142
ritamollerpalma,uTobian,231,1,3994
eileeniorio,RobertKennedyJr,231,1,16677
kksheld,MartyMakary,231,2,117787
BenGoldsmith,JamesMelville,231,3,132805
jorient,JamesMelville,231,1,8309
avoiceforchoice,andrewbostom,230,1,7562
sallyKP,uTobian,229,1,13137
robinmonotti,MichaelYeadon3,228,1,21322
ClareCraigPath,andrewbostom,228,1,59640
waynerohde,HighWireTalk,227,1,3514
waynerohde,SharylAttkisson,226,1,3692
sallyKP,SharylAttkisson,224,1,12115
Notyour28981739,uTobian,223,1,6804
avoiceforchoice,HighWireTalk,222,1,8330
Notyour28981739,HighWireTalk,220,1,8150
Believe_Mothers,uTobian,219,1,4210
GenRescue,uTobian,219,1,20716
ClareCraigPath,ianmSC,217,1,103526
LotusOak2,ChildrensHD,213,1,47498
ToniaBuxton,Togetherdec,212,2,107646
ClareCraigPath,TonyHinton2016,211,1,113806
sallyKP,DrBenTapper1,211,1,13994
SNCCLA,HighWireTalk,210,1,5627
ChildrensHD,RobertKennedyJr,209,1,68583
ChildrensHD,RobertKennedyJr,208,1,88387
HegKong,rick_pittman,207,1,31765
GenRescue,PamLongCO,206,1,20511
uTobian,lifebiomedguru,205,1,30967
avoiceforchoice,JeffereyJaxen,203,1,7562
LotusOak2,ChildrensHD,203,1,47469
Notyour28981739,JenniferMarguli,202,1,11493
JeffereyJaxen,DrJBhattacharya,202,1,26240
LotusOak2,ChildrensHD,201,1,47491
eileeniorio,RobertKennedyJr,200,1,20758
waynerohde,ezralevant,200,1,3767
lifebiomedguru,NBSaphierMD,199,1,44699
DrHoenderkamp,MaajidNawaz,199,3,74096
jorient,richardursomd,198,1,7408
debnantz,HighWireTalk,198,1,9892
ClareCraigPath,Togetherdec,197,2,119682
AnnieWBelle,DrHoenderkamp,197,3,1771
sallyKP,uTobian,196,1,12576
ClareCraigPath,delbigtree,195,1,107873
Ward57434516,ClareCraigPath,195,4,62
HegKong,BusyDrT,195,1,15384
debnantz,HighWireTalk,194,1,9873
HighWireTalk,ICANdecide,193,1,65417
HegKong,NVICLoeDown,191,1,12832
LotusOak2,ChildrensHD,191,1,47450
waynerohde,P_McCulloughMD,190,1,3763
LotusOak2,ChildrensHD,190,1,47465
ToniaBuxton,TonyHinton2016,189,2,107778
lifebiomedguru,RobertKennedyJr,188,1,39675
waynerohde,RobertKennedyJr,188,1,3350
waynerohde,HighWireTalk,187,1,3282
JeffereyJaxen,DrJBhattacharya,187,1,26239
ClareCraigPath,Togetherdec,186,1,112678
eileeniorio,RobertKennedyJr,185,1,20759
avoiceforchoice,JeffereyJaxen,185,1,8330
ClareCraigPath,TonyHinton2016,184,1,97403
HegKong,TonyHinton2016,182,1,35875
ToniaBuxton,Togetherdec,182,2,108005
waynerohde,akheriaty,182,1,3783
debnantz,drsimonegold,181,1,8973
sallyKP,uTobian,180,1,11912
ezralevant,RepThomasMassie,179,2,351801
robinmonotti,MichaelYeadon3,179,1,22067
ClareCraigPath,MaajidNawaz,179,1,88062
ClareCraigPath,JamesMelville,179,1,91036
sallyKP,uTobian,178,1,14000
avoiceforchoice,ChildrensHD,178,1,7240
AlietaEck,AAPSonline,175,1,13476
jorient,brownstoneinst,174,1,8541
Believe_Mothers,akheriaty,174,1,5533
sallyKP,lifebiomedguru,173,1,12094
avoiceforchoice,JeffereyJaxen,173,1,8324
JeffereyJaxen,ianmSC,173,1,24564
SNCCLA,HighWireTalk,173,1,5654
JeffereyJaxen,DrJBhattacharya,172,1,27945
waynerohde,SharylAttkisson,171,1,3722
uTobian,RobertKennedyJr,171,1,34087
waynerohde,lifebiomedguru,171,1,3766
jorient,DrJBhattacharya,171,1,8645
LotusOak2,ChildrensHD,171,1,47443
sallyKP,uTobian,170,1,14000
jorient,JamesMelville,170,2,9092
waynerohde,SharylAttkisson,169,1,3723
sallyKP,justiceforevee,169,1,14309
ClareCraigPath,DrEliDavid,169,1,99308
derekjamesfrom,danielkotzin,169,3,8143
JeffereyJaxen,HighWireTalk,168,1,27434
TonyHinton2016,ClareCraigPath,168,2,60128
Notyour28981739,uTobian,167,1,6918
TonyHinton2016,ollysmithtravel,167,2,60102
sallyKP,justiceforevee,167,1,11852
uTobian,RobertKennedyJr,166,1,34147
Cernovich,DrJBhattacharya,166,2,888609
justiceforevee,lifebiomedguru,165,1,12012
ClareCraigPath,ianmSC,165,1,89056
ClareCraigPath,cricketwyvern,165,1,85644
ClareCraigPath,andrewbostom,164,1,76202
GenRescue,mercola,163,1,20382
ClayTravis,ianmSC,163,2,897869
ICANdecide,HighWireTalk,163,1,39553
avoiceforchoice,HighWireTalk,163,1,8362
SNCCLA,uTobian,162,1,4815
Notyour28981739,SharylAttkisson,162,1,6644
brownstoneinst,MartinKulldorff,162,2,19359
ClareCraigPath,JamesMelville,162,1,86412
Believe_Mothers,danielkotzin,162,1,5881
delbigtree,HighWireTalk,161,1,117495
waynerohde,HighWireTalk,160,1,3498
YardleyShooting,hibbsy1973,160,1,52175
ClareCraigPath,akheriaty,160,1,75714
ClareCraigPath,Togetherdec,159,1,99308
sallyKP,uTobian,158,1,12116
ClareCraigPath,SikhForTruth,158,1,78377
JeffereyJaxen,RandPaul,158,1,26698
Notyour28981739,lifebiomedguru,158,1,6793
NBSaphierMD,MartyMakary,157,2,167032
Notyour28981739,lifebiomedguru,157,1,7164
uTobian,DrBenTapper1,157,1,33253
ezralevant,ATSoos,156,2,352203
ToniaBuxton,YardleyShooting,155,2,107535
Notyour28981739,JenniferMarguli,155,1,9409
sallyKP,ChildrensHD,155,1,12114
DrHoenderkamp,Togetherdec,154,3,73437
waynerohde,HighWireTalk,154,1,3693
sallyKP,uTobian,153,1,12278
ClareCraigPath,cricketwyvern,152,1,70947
sallyKP,uTobian,151,1,12449
waynerohde,uTobian,150,1,3271
waynerohde,SharylAttkisson,149,1,3723
ClareCraigPath,DrAseemMalhotra,149,1,87896
lifebiomedguru,uTobian,148,1,20937
ClareCraigPath,EssexPR,146,1,81016
MartinKulldorff,DrJBhattacharya,146,2,237728
lifebiomedguru,HighWireTalk,145,1,20884
Believe_Mothers,HighWireTalk,145,1,5855
waynerohde,ClayTravis,145,1,3787
waynerohde,delbigtree,144,1,3610
Notyour28981739,sallyKP,143,1,7872
sallyKP,HighWireTalk,143,1,12116
SNCCLA,SharylAttkisson,142,1,4849
SNCCLA,sallyKP,142,1,5650
lifebiomedguru,ChildrensHD,142,1,20494
lifebiomedguru,ChildrensHD,140,1,20450
ezralevant,anish_koka,139,2,352590
hibbsy1973,YardleyShooting,137,2,2567
DrAseemMalhotra,Togetherdec,137,2,186100
Notyour28981739,HighWireTalk,137,1,6657
ClareCraigPath,EssexPR,137,1,104460
ClareCraigPath,SteveBakerHW,136,1,113623
ClareCraigPath,cricketwyvern,136,1,107037
eileeniorio,JackPosobiec,135,1,20221
Believe_Mothers,HighWireTalk,135,1,5846
JeffereyJaxen,HighWireTalk,135,1,22810
Notyour28981739,talialikeitis,134,1,7833
jonrappoport,HighWireTalk,134,1,70760
Believe_Mothers,Cernovich,134,1,5913
ezralevant,MartyMakary,133,2,352553
Notyour28981739,sallyKP,132,1,6907
avoiceforchoice,lifebiomedguru,132,1,8233
jorient,HegKong,132,1,7478
Believe_Mothers,delbigtree,132,1,5527
Believe_Mothers,PamLongCO,131,1,5870
ClareCraigPath,JamesMelville,131,1,80423
sallyKP,uTobian,130,1,14215
BusyDrT,uTobian,130,1,76710
avoiceforchoice,science_cited,130,1,8090
sallyKP,uTobian,129,1,12117
SNCCLA,uTobian,127,1,4815
Notyour28981739,uTobian,127,1,6878
JeffereyJaxen,bmj_latest,126,1,20020
DrHoenderkamp,SikhForTruth,125,3,73443
debnantz,sallyKP,125,1,9880
DrJBhattacharya,VPrasadMDMPH,124,2,180727
ChildrensHD,SenRonJohnson,124,1,86022
ClareCraigPath,DrAseemMalhotra,124,1,88703
SNCCLA,ChildrensHD,124,1,4949
kksheld,VPrasadMDMPH,123,2,118737
debnantz,lifebiomedguru,123,1,9892
waynerohde,lifebiomedguru,123,1,3767
waynerohde,JeffereyJaxen,123,1,3724
JenniferMarguli,brianvastag,123,2,15864
ezralevant,aginnt,123,2,352451
AlietaEck,AAPSonline,122,1,15495
DavidAnber,VPrasadMDMPH,121,3,36542
waynerohde,HighWireTalk,121,1,3514
sallyKP,GenRescue,121,1,13926
Believe_Mothers,uTobian,119,1,4219
ClareCraigPath,TonyHinton2016,119,1,78169
ChildrensHD,RobertKennedyJr,119,2,109559
Believe_Mothers,PamLongCO,119,1,4407
HegKong,MaajidNawaz,119,1,31788
ClareCraigPath,TonyHinton2016,118,1,73869
waynerohde,SharylAttkisson,118,1,3723
jorient,richardursomd,118,1,7368
GenRescue,lifebiomedguru,118,1,20433
SNCCLA,JeffereyJaxen,118,1,5652
kksheld,ChGefaell,118,2,117542
DrHoenderkamp,TonyHinton2016,117,3,74489
JeffereyJaxen,HighWireTalk,117,1,25982
Notyour28981739,uTobian,116,1,6645
avoiceforchoice,PamLongCO,116,1,8087
waynerohde,JeffereyJaxen,116,1,3597
ClareCraigPath,ianmSC,116,1,79338
Notyour28981739,GenRescue,116,1,7833
jorient,richardursomd,115,1,7362
jorient,ElectionWiz,115,1,8659
robinmonotti,uTobian,114,1,26317
Notyour28981739,PamLongCO,114,1,7879
med1cinewoman,JuliusRuechel,114,1,6846
ClareCraigPath,ianmSC,114,1,95595
MartyMakary,VPrasadMDMPH,113,2,156129
SNCCLA,Notyour28981739,113,1,5658
Notyour28981739,uTobian,112,1,6719
DrJBhattacharya,MartinKulldorff,112,2,182638
DrTessaT,HighWireTalk,112,3,19527
ClareCraigPath,EssexPR,112,1,70570
ClareCraigPath,alanvibe,111,1,79086
AlietaEck,AAPSonline,110,1,15495
ClareCraigPath,Togetherdec,109,1,106192
ClareCraigPath,MaajidNawaz,109,1,106457
ClareCraigPath,DrJBhattacharya,109,2,119644
Notyour28981739,ChildrensHD,109,1,6881
ezralevant,ATSoos,109,2,351611
JeffereyJaxen,HighWireTalk,108,1,14533
ClareCraigPath,JuliaHB1,107,1,74235
sallyKP,uTobian,106,1,12098
ChildrensHD,RobertKennedyJr,106,1,82417
jorient,HegKong,106,1,7452
sallyKP,Notyour28981739,105,1,12201
avoiceforchoice,lifebiomedguru,105,1,8067
ClareCraigPath,ianmSC,105,1,119278
waynerohde,P_McCulloughMD,103,1,4012
JenniferMarguli,akheriaty,103,1,11921
kksheld,MartinKulldorff,102,2,117808
sallyKP,lifebiomedguru,102,1,13913
ClareCraigPath,JamesMelville,102,1,112621
JeffereyJaxen,HighWireTalk,102,1,23558
MartinKulldorff,DrJBhattacharya,102,2,236834
SNCCLA,ChildrensHD,101,1,5036
barnes_law,RobertKennedyJr,99,2,239223
ChildrensHD,RobertKennedyJr,99,2,108900
Notyour28981739,uTobian,98,1,6730
debnantz,jonrappoport,98,1,9914
ClareCraigPath,Togetherdec,97,2,119638
jonrappoport,ElectionWiz,97,1,68270
ClareCraigPath,cricketwyvern,97,1,96580
DrJBhattacharya,VPrasadMDMPH,96,2,182007
waynerohde,uTobian,96,1,3370
TonyHinton2016,Togetherdec,95,2,60108
SNCCLA,sallyKP,95,1,5658
ChildrensHD,RobertKennedyJr,95,1,107317
sallyKP,justiceforevee,95,1,13914
SNCCLA,JenniferMarguli,95,1,5663
avoiceforchoice,JeffereyJaxen,95,1,7092
ClareCraigPath,Togetherdec,93,1,108466
SNCCLA,ChildrensHD,93,1,5652
JeffereyJaxen,Cernovich,93,1,20885
ClareCraigPath,Togetherdec,92,1,119304
ClareCraigPath,SteveBakerHW,91,1,110392
lifebiomedguru,JeffereyJaxen,90,1,21711
LotusOak2,ChildrensHD,90,1,47456
eduortu,ChGefaell,90,3,1105
ClareCraigPath,VPrasadMDMPH,89,1,72443
sallyKP,uTobian,89,1,12148
BeckyJohnson222,MichaelYeadon3,89,1,4877
JeffereyJaxen,ICANdecide,89,1,26132
ClareCraigPath,DrHoenderkamp,89,1,87155
ClareCraigPath,cricketwyvern,89,1,97060
jonrappoport,Cernovich,89,1,69638
jorient,HegKong,88,1,7362
ClareCraigPath,EssexPR,88,1,97401
ClareCraigPath,Togetherdec,87,1,113284
lifebiomedguru,SharylAttkisson,87,1,41752
ClareCraigPath,Togetherdec,86,1,107873
waynerohde,ICANdecide,86,2,4049
ClareCraigPath,TonyHinton2016,84,1,87512
ClareCraigPath,JuliusRuechel,84,1,79885
ClareCraigPath,TonyHinton2016,83,1,118712
DrJBhattacharya,MartinKulldorff,83,2,183960
waynerohde,HighWireTalk,83,1,3515
waynerohde,eileeniorio,83,1,3610
DrJBhattacharya,VPrasadMDMPH,82,2,181909
SNCCLA,MichaelYeadon3,82,1,5662
sallyKP,eileeniorio,82,1,13987
waynerohde,eileeniorio,82,1,3721
sallyKP,uTobian,81,1,11898
ChildrensHD,RobertKennedyJr,81,1,51297
ClareCraigPath,DrHoenderkamp,81,1,110452
robinmonotti,DrBenTapper1,81,1,20741
SNCCLA,ChildrensHD,81,1,5652
jonrappoport,barnes_law,80,1,67831
ClareCraigPath,TonyHinton2016,79,1,59920
BeckyJohnson222,JenniferMarguli,79,1,4672
waynerohde,HighWireTalk,79,1,3542
jonrappoport,forrestmaready,79,1,58387
ChildrensHD,RobertKennedyJr,78,1,81232
robinmonotti,eileeniorio,78,1,20741
ClareCraigPath,DrHoenderkamp,78,1,89614
ToniaBuxton,Togetherdec,77,2,107567
ClareCraigPath,Togetherdec,77,1,108325
sallyKP,talialikeitis,77,1,13914
jorient,richardursomd,77,1,7473
ClareCraigPath,ianmSC,77,1,113710
DrHoenderkamp,Togetherdec,76,3,73927
uTobian,PamLongCO,76,1,34377
jonrappoport,PamLongCO,76,1,69910
SNCCLA,lifebiomedguru,76,1,5642
ClareCraigPath,JamesMelville,76,1,78633
DrJBhattacharya,MartyMakary,75,2,185519
avoiceforchoice,JeffereyJaxen,75,1,8311
sallyKP,DrBenTapper1,75,1,12468
DrJBhattacharya,MartinKulldorff,74,2,183249
sallyKP,lifebiomedguru,74,1,11916
ClareCraigPath,andrewbostom,74,1,77138
ClareCraigPath,TonyHinton2016,73,1,76650
InsideVaccines,lifebiomedguru,73,1,12856
jorient,andrewbostom,73,1,8476
waynerohde,MartyMakary,72,1,3762
SNCCLA,lifebiomedguru,72,1,5662
backtolife_2022,barnes_law,72,3,86301
DrTessaT,barnes_law,72,3,19546
GenRescue,lifebiomedguru,71,1,20511
waynerohde,HighWireTalk,71,1,3282
ClareCraigPath,cricketwyvern,71,1,88303
GenRescue,andrewbostom,71,1,20618
drsimonegold,richardursomd,71,1,420582
DrTessaT,HighWireTalk,70,3,19528
JeffereyJaxen,HighWireTalk,70,1,27409
TannersDad,HighWireTalk,70,1,19214
barnes_law,backtolife_2022,70,2,239492
waynerohde,HighWireTalk,69,1,3694
SNCCLA,eileeniorio,69,1,5650
Notyour28981739,uTobian,68,1,6777
waynerohde,JeffereyJaxen,68,1,3358
waynerohde,uTobian,67,1,3347
ClareCraigPath,andrewbostom,67,1,87388
Notyour28981739,sallyKP,66,1,6924
Notyour28981739,kksheld,66,1,11065
DrJBhattacharya,VPrasadMDMPH,65,2,186074
GenRescue,NVICLoeDown,65,1,20433
ritamollerpalma,JackPosobiec,65,1,4824
ClareCraigPath,brownstoneinst,65,1,100986
sallyKP,uTobian,64,1,12466
sallyKP,uTobian,64,1,12066
sallyKP,justiceforevee,64,1,14081
Believe_Mothers,HighWireTalk,64,1,5539
ClareCraigPath,cricketwyvern,64,1,81133
Cernovich,MartinKulldorff,63,2,890126
waynerohde,lifebiomedguru,63,1,3693
RobertKennedyJr,KimIversenShow,63,1,312010
sallyKP,uTobian,62,1,12117
SNCCLA,uTobian,62,1,4816
alanvibe,Togetherdec,62,3,38603
jorient,reasonoverfear,62,1,8583
DrJBhattacharya,MartinKulldorff,62,2,182986
Notyour28981739,ChildrensHD,62,1,6761
SNCCLA,ICANdecide,61,1,5022
ClareCraigPath,cricketwyvern,61,1,72670
lifebiomedguru,ChildrensHD,61,1,20884
Notyour28981739,ChildrensHD,61,1,6779
JeffereyJaxen,jonrappoport,60,1,21409
jorient,HegKong,60,1,8150
ClareCraigPath,cricketwyvern,60,1,106020
RobertKennedyJr,ChildrensHD,60,1,391324
JeffereyJaxen,jonrappoport,59,1,15228
backtolife_2022,barnes_law,59,3,89565
anish_koka,VPrasadMDMPH,58,3,9859
ClareCraigPath,toadmeister,58,1,109854
Notyour28981739,lifebiomedguru,58,1,9409
JeffereyJaxen,HighWireTalk,58,1,24374
ChildrensHD,RobertKennedyJr,57,2,108126
SNCCLA,lifebiomedguru,57,1,4822
JeffereyJaxen,jonrappoport,57,1,14559
JeffereyJaxen,HighWireTalk,57,1,20627
waynerohde,eileeniorio,57,1,3762
sallyKP,uTobian,56,1,12274
alanvibe,Togetherdec,56,3,38502
Notyour28981739,HighWireTalk,56,1,8146
JeffereyJaxen,uTobian,55,1,14364
Believe_Mothers,PamLongCO,55,1,4519
jorient,lifebiomedguru,55,1,7460
ClareCraigPath,drnathimdladla,55,2,119859
waynerohde,lifebiomedguru,54,1,3759
anish_koka,VPrasadMDMPH,53,3,9871
waynerohde,lifebiomedguru,53,1,3762
TannersDad,forrestmaready,53,1,19286
ClareCraigPath,delbigtree,53,1,107600
ClareCraigPath,alanvibe,53,1,75233
ClareCraigPath,alanvibe,53,1,112648
JeffereyJaxen,HighWireTalk,52,1,23173
BeckyJohnson222,DrTessaT,52,1,4880
waynerohde,sallyKP,51,1,3542
ChildrensHD,RobertKennedyJr,51,1,68755
waynerohde,HighWireTalk,51,1,3256
ClareCraigPath,alanvibe,51,1,95660
waynerohde,SharylAttkisson,50,1,3694
Notyour28981739,sallyKP,50,1,7881
JeffereyJaxen,robinmonotti,50,1,14468
sallyKP,lifebiomedguru,50,1,14272
waynerohde,JeffereyJaxen,50,1,3610
BeckyJohnson222,HighWireTalk,50,1,4888
JeffereyJaxen,HighWireTalk,50,1,27695
lifebiomedguru,ChildrensHD,50,1,20154
barnes_law,backtolife_2022,50,2,239056
ToniaBuxton,Togetherdec,49,2,108327
YardleyShooting,hibbsy1973,49,1,62518
avoiceforchoice,ChildrensHD,49,1,7536
JeffereyJaxen,HighWireTalk,48,1,21329
SNCCLA,sallyKP,47,1,5661
Notyour28981739,sallyKP,47,1,6925
Notyour28981739,PamLongCO,47,1,6756
SNCCLA,NVICLoeDown,47,1,5657
ClayTravis,ianmSC,47,2,886510
ritamollerpalma,Cernovich,47,1,4941
brownstoneinst,MartinKulldorff,46,2,19138
barnes_law,BuffyWicks,46,2,239924
HowardGriffiths,YardleyShooting,45,4,5020
SNCCLA,uTobian,45,1,5184
ClareCraigPath,TonyHinton2016,45,2,120875
JeffereyJaxen,jonrappoport,45,1,21340
Believe_Mothers,HighWireTalk,45,1,5927
robinmonotti,bmj_latest,45,1,28857
SNCCLA,uTobian,44,1,4946
sallyKP,uTobian,44,1,11811
SNCCLA,NVICLoeDown,44,1,5645
SNCCLA,lifebiomedguru,44,1,5652
sallyKP,lifebiomedguru,44,1,12166
HowardGriffiths,Ward57434516,43,4,5018
DrJBhattacharya,VPrasadMDMPH,43,2,184561
HegKong,TonyHinton2016,43,1,31785
RobertKennedyJr,jimmy_dore,43,1,330343
waynerohde,HighWireTalk,43,1,3766
JeffereyJaxen,HighWireTalk,43,1,22098
Notyour28981739,HegKong,43,1,6799
ToniaBuxton,TonyHinton2016,42,2,107648
avoiceforchoice,RobertKennedyJr,42,1,8332
avoiceforchoice,NVICLoeDown,42,1,7062
JeffereyJaxen,HighWireTalk,42,1,14368
Believe_Mothers,HighWireTalk,42,1,5862
waynerohde,HighWireTalk,42,1,3695
waynerohde,sallyKP,41,1,3355
sallyKP,Notyour28981739,41,1,11857
JeffereyJaxen,NVICLoeDown,40,1,15235
JackPosobiec,MaajidNawaz,40,2,1739701
waynerohde,lifebiomedguru,40,1,3696
JeffereyJaxen,jonrappoport,40,1,15233
Notyour28981739,JeffereyJaxen,40,1,7869
JeffereyJaxen,HighWireTalk,40,1,26933
lifebiomedguru,HighWireTalk,40,1,33671
RobertKennedyJr,ChildrensHD,40,1,264995
LotusOak2,ChildrensHD,40,1,47490
sallyKP,uTobian,39,1,12309
lifebiomedguru,sallyKP,39,1,20449
richardursomd,NBSaphierMD,39,1,113811
GenRescue,JeffereyJaxen,39,1,20715
Notyour28981739,JeffereyJaxen,39,1,7871
avoiceforchoice,ianmSC,39,1,8362
LotusOak2,ChildrensHD,39,1,47464
VPrasadMDMPH,BallouxFrancois,39,4,185674
RobertKennedyJr,SharylAttkisson,38,1,343069
Notyour28981739,NVICLoeDown,38,1,6659
SNCCLA,HighWireTalk,38,1,5650
GenRescue,science_cited,37,1,20620
DrJBhattacharya,MartinKulldorff,37,2,185915
uTobian,lifebiomedguru,37,1,31042
SNCCLA,DrTessaT,37,1,5659
ClareCraigPath,cricketwyvern,37,1,87917
Notyour28981739,NVICLoeDown,36,1,8139
waynerohde,lifebiomedguru,36,1,3770
ClareCraigPath,andrewbostom,36,1,88307
sallyKP,uTobian,35,1,12066
SNCCLA,GenRescue,35,1,5654
SNCCLA,ChildrensHD,35,1,4951
waynerohde,ChildrensHD,35,1,3278
ritamollerpalma,ChildrensHD,35,1,3986
hibbsy1973,YardleyShooting,34,2,2576
Believe_Mothers,uTobian,34,1,4149
HegKong,NVICLoeDown,34,1,15384
DrTessaT,HighWireTalk,34,3,19521
GenRescue,eileeniorio,34,1,19789
MichaelYeadon3,ClareCraigPath,34,1,92027
LotusOak2,ChildrensHD,34,1,47441
ClareCraigPath,andrewbostom,34,1,78639
richardursomd,akheriaty,34,1,80441
SNCCLA,sallyKP,33,1,4817
Notyour28981739,NVICLoeDown,33,1,6795
forrestmaready,jonrappoport,33,1,20831
GenRescue,eileeniorio,33,1,19535
jonrappoport,SenRonJohnson,32,1,65449
JeffereyJaxen,HighWireTalk,32,1,14621
jorient,HighWireTalk,32,1,8070
BeckyJohnson222,GenRescue,32,1,4844
ToniaBuxton,TonyHinton2016,31,2,108111
alanvibe,Togetherdec,31,3,38304
JeffereyJaxen,ianmSC,31,1,26131
BeckyJohnson222,HegKong,31,1,4935
ClareCraigPath,cricketwyvern,31,1,83626
DrJBhattacharya,ajlamesa,31,2,184748
sallyKP,uTobian,30,1,11909
Notyour28981739,sallyKP,30,1,7934
uTobian,PamLongCO,30,1,33284
SNCCLA,NVICLoeDown,30,1,5650
BeckyJohnson222,HighWireTalk,30,1,4814
JeffereyJaxen,HighWireTalk,30,1,23630
JeffereyJaxen,HighWireTalk,30,1,26513
aginnt,BallouxFrancois,30,2,65623
ClareCraigPath,andrewbostom,30,1,75128
TannersDad,SharylAttkisson,29,1,19296
Believe_Mothers,PamLongCO,29,1,5920
JeffereyJaxen,GenRescue,29,1,15369
LotusOak2,ChildrensHD,29,1,47498
GenRescue,andrewbostom,29,1,20489
ClareCraigPath,Togetherdec,28,2,120194
sallyKP,science_cited,28,1,12117
waynerohde,lifebiomedguru,28,1,3516
BeckyJohnson222,GenRescue,28,1,4921
Notyour28981739,GenRescue,28,1,7851
GenRescue,andrewbostom,28,1,19789
ClareCraigPath,TonyHinton2016,27,1,92943
ClareCraigPath,Togetherdec,27,1,112087
nadhimzahawi,sajidjavid,27,2,85530
ClareCraigPath,ollysmithtravel,27,1,101499
sallyKP,NVICLoeDown,27,1,14315
waynerohde,lifebiomedguru,27,1,3722
waynerohde,JeffereyJaxen,27,1,3674
JeffereyJaxen,HighWireTalk,27,1,22541
JeffereyJaxen,HighWireTalk,27,1,21761
jorient,akheriaty,27,1,8081
sallyKP,uTobian,26,1,11765
ClareCraigPath,TonyHinton2016,26,1,84699
JenniferMarguli,SikhForTruth,26,1,15863
DrJBhattacharya,MartinKulldorff,26,2,183402
avoiceforchoice,JeffereyJaxen,26,1,8326
ICANdecide,HighWireTalk,26,2,40369
barnes_law,backtolife_2022,26,2,239168
sallyKP,justiceforevee,25,1,12438
JeffereyJaxen,HighWireTalk,25,1,14703
ICANdecide,HighWireTalk,25,1,33257
Believe_Mothers,HighWireTalk,25,1,5908
JeffereyJaxen,HighWireTalk,25,1,15416
waynerohde,HighWireTalk,25,1,3767
ajlamesa,BallouxFrancois,25,3,12046
sallyKP,waynerohde,24,1,12094
ClareCraigPath,TonyHinton2016,24,1,59201
Notyour28981739,sallyKP,24,1,7921
avoiceforchoice,RepThomasMassie,24,1,7554
sallyKP,PamLongCO,24,1,13913
avoiceforchoice,NVICLoeDown,24,1,7536
jonrappoport,Notyour28981739,24,1,52291
JeffereyJaxen,HighWireTalk,24,1,22455
waynerohde,HighWireTalk,24,1,3761
JeffereyJaxen,HighWireTalk,24,1,23412
jorient,HegKong,24,1,8081
AnnieWBelle,Ward57434516,23,3,1724
waynerohde,uTobian,23,1,3266
sallyKP,science_cited,23,1,11848
JeffereyJaxen,jonrappoport,23,1,20188
waynerohde,ICANdecide,23,1,4011
JeffereyJaxen,HighWireTalk,23,1,25300
JeffereyJaxen,HighWireTalk,23,1,15223
waynerohde,HighWireTalk,23,1,3513
JeffereyJaxen,HighWireTalk,23,1,14253
waynerohde,eileeniorio,23,1,3721
ezralevant,aginnt,23,2,351663
BeckyJohnson222,uTobian,22,1,4862
jorient,richardursomd,22,1,8384
Notyour28981739,NVICLoeDown,22,1,8147
Notyour28981739,lifebiomedguru,22,1,9494
jorient,lifebiomedguru,22,1,7564
RobertKennedyJr,KimIversenShow,22,1,357452
RobertKennedyJr,jimmy_dore,22,1,334415
ClareCraigPath,JamesMelville,22,1,76310
JeffereyJaxen,HighWireTalk,22,1,27798
JeffereyJaxen,HighWireTalk,22,1,14381
BeckyJohnson222,DrTessaT,22,1,4924
ClareCraigPath,alanvibe,22,1,76238
jorient,AAPSonline,22,1,8036
avoiceforchoice,SharylAttkisson,21,1,8305
GenRescue,science_cited,21,1,20620
Cernovich,RepThomasMassie,21,2,889517
Notyour28981739,PamLongCO,21,1,6879
